frames,donor,acceptor,FRET,idealized FRET,molecule_number,treatment_name,repeat,unique_id,dwell_steady_state,dwell,frame_length,transition_point,transition_dwell,FRET_before,FRET_after,consec
1748,6228.376,6025.37,0.491717,0.567147,164,03_A8A2,2.0,164_03_A8A2_2.0,14,39,1791,True,204.0,0.199564,0.567147,False
100,1590.551,3967.893,0.71385,0.714276,206,03_A8A2,2.0,206_03_A8A2_2.0,3,3,816,True,77.0,0.493722,0.714276,False
687,1185.503,3137.644,0.725778,0.887453,206,03_A8A2,2.0,206_03_A8A2_2.0,24,16,816,True,133.0,0.139409,0.887453,False
405,4476.45,4494.669,0.501015,0.726412,208,03_A8A2,2.0,208_03_A8A2_2.0,9,12,416,True,184.0,0.076414,0.726412,False
268,2233.762,4033.503,0.643583,0.686435,1,04_A8B1,1.0,001_04_A8B1_1.0,4,16,698,True,108.0,0.482353,0.686435,False
65,1892.026,6617.871,0.777668,0.728123,4,04_A8B1,1.0,004_04_A8B1_1.0,2,149,351,True,64.0,0.096839,0.728123,False
84,2066.608,5168.975,0.714383,0.677378,12,04_A8B1,1.0,012_04_A8B1_1.0,2,12,582,True,83.0,0.471938,0.677378,False
326,2439.439,3392.73,0.581727,0.677378,12,04_A8B1,1.0,012_04_A8B1_1.0,4,104,582,True,230.0,0.471938,0.677378,False
495,26.954,5829.2,0.995397,0.908775,12,04_A8B1,1.0,012_04_A8B1_1.0,6,55,582,True,65.0,0.471938,0.908775,False
100,1340.384,8230.289,0.859949,0.896162,52,04_A8B1,1.0,052_04_A8B1_1.0,5,5,131,True,54.0,0.009912,0.896162,False
94,2257.79,3560.084,0.611922,0.661032,65,04_A8B1,1.0,065_04_A8B1_1.0,2,16,479,True,93.0,0.440491,0.661032,False
199,932.199,2511.505,0.729304,0.661032,65,04_A8B1,1.0,065_04_A8B1_1.0,4,5,479,True,89.0,0.440491,0.661032,False
332,3644.221,4104.686,0.529712,0.547846,74,04_A8B1,1.0,074_04_A8B1_1.0,8,45,657,True,129.0,0.35291,0.547846,False
516,3350.519,3450.065,0.507319,0.547846,74,04_A8B1,1.0,074_04_A8B1_1.0,10,16,657,True,139.0,0.35291,0.547846,False
127,2928.405,5589.812,0.656219,0.650257,82,04_A8B1,1.0,082_04_A8B1_1.0,2,150,450,True,126.0,0.327776,0.650257,False
289,2368.64,4628.561,0.661488,0.652529,86,04_A8B1,1.0,086_04_A8B1_1.0,9,80,843,True,78.0,0.491796,0.652529,False
410,1758.251,2947.581,0.626368,0.60182,94,04_A8B1,1.0,094_04_A8B1_1.0,12,33,632,True,87.0,0.473114,0.60182,False
316,2672.71,3643.675,0.576861,0.576845,100,04_A8B1,1.0,100_04_A8B1_1.0,7,31,393,True,70.0,0.445357,0.576845,False
269,2372.201,2804.671,0.541769,0.610979,108,04_A8B1,1.0,108_04_A8B1_1.0,5,7,275,True,73.0,0.464599,0.610979,False
195,1643.926,5523.212,0.77063,0.7659,167,04_A8B1,1.0,167_04_A8B1_1.0,6,16,771,True,60.0,0.4315,0.7659,False
924,1279.922,7843.832,0.859715,0.728594,174,04_A8B1,1.0,174_04_A8B1_1.0,11,17,1124,True,71.0,0.487724,0.728594,False
138,3482.575,4683.646,0.573539,0.59881,183,04_A8B1,1.0,183_04_A8B1_1.0,2,23,954,True,137.0,0.462846,0.59881,False
343,3027.613,4850.444,0.61569,0.59881,183,04_A8B1,1.0,183_04_A8B1_1.0,6,45,954,True,131.0,0.462846,0.59881,False
727,2518.097,5314.309,0.678503,0.682706,187,04_A8B1,1.0,187_04_A8B1_1.0,13,22,782,True,190.0,0.480628,0.682706,False
578,2082.892,6174.706,0.747761,0.807689,196,04_A8B1,1.0,196_04_A8B1_1.0,2,54,631,True,577.0,0.0249,0.807689,False
201,3558.718,6737.804,0.654377,0.647678,201,04_A8B1,1.0,201_04_A8B1_1.0,2,23,223,True,200.0,0.383591,0.647678,False
